"Keyword","Avg. Searches","Avg. Clicks","Avg. CTR","Competition"
"mens leather jacket","409","436","107","24,788"
"handmade leather coat","Unknown","Unknown","Unknown","3,596"
"black leather coat","< 20","Unknown","Unknown","15,405"
"slim fit jacket","Unknown","Unknown","Unknown","3,076"
"motorcycle outerwear","Unknown","Unknown","Unknown","701"
"casual leather wear","Unknown","Unknown","Unknown","Unknown"
"genuine leather men","Unknown","Unknown","Unknown","16,091"
"classic leather jacket","Unknown","Unknown","Unknown","1,927"
"stylish leather coat","Unknown","Unknown","Unknown","1,433"
"biker style jacket","Unknown","Unknown","Unknown","4,683"
"mens fashion outerwear","Unknown","Unknown","Unknown","Unknown"
"premium leather jacket","Unknown","Unknown","Unknown","813"
"edgy leather style","Unknown","Unknown","Unknown","Unknown"
"mens slim jacket","Unknown","Unknown","Unknown","1,421"
"black biker jacket","Unknown","Unknown","Unknown","9,630"
"luxury leather coat","Unknown","Unknown","Unknown","294"
"retro leather jacket","Unknown","Unknown","Unknown","2,862"
"everyday leather wear","Unknown","Unknown","Unknown","Unknown"
"custom leather jacket","553","48","< 20","7,247"
"versatile mens coat","Unknown","Unknown","Unknown","Unknown"
