Keyword,Competition,Total Views,Monthly Views,Total Favorites,Monthly Favorites,Total Sales,Monthly Sales,Reviews,Monthly Reviews,Score,Long Tail,Google Search Trends
"genuine leather for men","83,968","18,414,766","5,156,134","613,894","983","338,595","4,002","77,390","9,286","2","Maybe","{}"
"Genuine Leather Men","83,489","13,558,854","2,169,416","424,397","627","228,226","2,697","52,304","183","2","Maybe","{"2023-08":90 "2023-09":170 "2023-10":140 "2023-11":140 "2023-12":260 "2024-01":170 "2024-02":140 "2024-03":110 "2024-04":70 "2024-05":110 "2024-06":90 "2024-07":90}"
"Men Genuine Leather","82,530","13,552,579","3,523,670","424,296","614","228,113","1,606","52,263","8","2","Maybe","{"2023-11":140 "2023-12":260 "2024-01":170 "2024-02":140 "2024-03":110 "2024-04":70 "2024-05":110 "2024-06":90 "2024-07":90 "2024-08":110 "2024-09":140 "2024-10":210}"
"genuine leather men","82,391","13,552,579","4,878,928","424,305","614","228,124","1,606","52,269","8","2","Maybe","{}"
"Genuine Leather Belt for Men","10,450","8,662,134","1,645,805","327,076","2,097","155,328","1,166","48,440","10,172","8","Maybe","{}"
"leather genuine leather natural leather","16,188","23,067,919","9,227,167","636,903","3,683","305,327","1,029","64,530","132","14","Maybe","{}"
"Genuine Men","183,499","7,322,473","2,562,865","242,982","337","118,558","895","28,571","57","0","Maybe","{"2023-12":390 "2024-01":390 "2024-02":390 "2024-03":480 "2024-04":480 "2024-05":390 "2024-06":390 "2024-07":390 "2024-08":480 "2024-09":480 "2024-10":590 "2024-11":720}"
"genuine leather","239,519","10,094,158","1,110,357","356,061","596","118,895","378","29,454","88","0","Maybe","{"2023-10":74000 "2023-11":74000 "2023-12":74000 "2024-01":74000 "2024-02":60500 "2024-03":74000 "2024-04":60500 "2024-05":60500 "2024-06":60500 "2024-07":60500 "2024-08":60500 "2024-09":60500}"
"Men  Genuine Leather","83,959","13,498,771","2,024,815","422,987","586","238,633","145","52,024","104","2","Maybe","{}"
"genuine leather biker jacket men","13,804","6,284,108","1,131,139","213,594","1,980","72,189","116","20,941","212","5","Yes","{"2022-05":140 "2022-06":110 "2022-07":170 "2022-08":110 "2022-09":210 "2022-10":480 "2022-11":720 "2022-12":720 "2023-01":480 "2023-02":170 "2023-03":260 "2023-04":140}"
"leather Genuine","237,588","10,108,863","3,437,013","356,704","139,114","117,355","22","29,493","5,308","0","Maybe","{}"
"Genuine Leather'","238,112","10,108,856","4,043,542","356,690","74,904","117,668","22","29,491","7,077","0","Maybe","{}"
"GENUINE Leather","238,886","10,108,856","1,819,594","356,690","78,471","117,668","22","29,491","8,552","0","Maybe","{"2024-01":74000 "2024-02":60500 "2024-03":74000 "2024-04":60500 "2024-05":60500 "2024-06":60500 "2024-07":60500 "2024-08":60500 "2024-09":60500 "2024-10":74000 "2024-11":74000 "2024-12":74000}"
"GENUINE LEATHER","239,628","10,134,982","2,635,095","357,777","93,022","107,835","20","29,582","9,466","0","Maybe","{"2023-11":74000 "2023-12":74000 "2024-01":74000 "2024-02":60500 "2024-03":74000 "2024-04":60500 "2024-05":60500 "2024-06":60500 "2024-07":60500 "2024-08":60500 "2024-09":60500 "2024-10":74000}"
"Genuine  Leather","239,538","10,134,982","3,243,194","357,774","35,777","108,027","20","29,582","4,141","0","Maybe","{}"
"leather genuine","240,030","10,135,047","1,925,658","357,822","132,394","108,033","20","29,585","10,354","0","Maybe","{"2022-06":60500 "2022-07":60500 "2022-08":60500 "2022-09":60500 "2022-10":74000 "2022-11":60500 "2022-12":74000 "2023-01":74000 "2023-02":60500 "2023-03":60500 "2023-04":60500 "2023-05":60500}"
"Leather genuine","240,670","10,184,498","1,731,364","355,728","85,374","107,868","20","29,522","11,218","0","Maybe","{"2022-06":60500 "2022-07":60500 "2022-08":60500 "2022-09":60500 "2022-10":74000 "2022-11":60500 "2022-12":74000 "2023-01":74000 "2023-02":60500 "2023-03":60500 "2023-04":60500 "2023-05":60500}"
"genuine Leather","240,029","10,135,047","1,114,855","357,822","93,033","108,033","20","29,585","6,804","0","Maybe","{"2023-07":60500 "2023-08":60500 "2023-09":60500 "2023-10":74000 "2023-11":74000 "2023-12":74000 "2024-01":74000 "2024-02":60500 "2024-03":74000 "2024-04":60500 "2024-05":60500 "2024-06":60500}"
"Genuine leather","239,167","10,133,957","1,317,414","357,714","71,542","107,752","20","29,580","3,549","0","Maybe","{"2023-12":74000 "2024-01":74000 "2024-02":60500 "2024-03":74000 "2024-04":60500 "2024-05":60500 "2024-06":60500 "2024-07":60500 "2024-08":60500 "2024-09":60500 "2024-10":74000 "2024-11":74000}"
"Genuine Leather","239,174","10,133,957","2,634,828","357,714","139,508","107,752","20","29,580","8,282","0","Maybe","{"2023-07":60500 "2023-08":60500 "2023-09":60500 "2023-10":74000 "2023-11":74000 "2023-12":74000 "2024-01":74000 "2024-02":60500 "2024-03":74000 "2024-04":60500 "2024-05":60500 "2024-06":60500}"
